trade_flow,period_date,year,month_number,month_name,hs_code,product_category,product_description,partner_country,record_type,trade_value_usd_million,observation_status,reported_quantity_unit,source_report_date,source_value_column,source_file
import,2018-01-01,2018,1,January,71011010,Natural Pearls,Natural (real) pearls - unworked,CHINA P RP,PARTNER,0.01,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/import/71011010/71011010_2018_01.html
import,2018-01-01,2018,1,January,71011010,Natural Pearls,Natural (real) pearls - unworked,FRANCE,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/import/71011010/71011010_2018_01.html
import,2018-01-01,2018,1,January,71011010,Natural Pearls,Natural (real) pearls - unworked,HONG KONG,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/import/71011010/71011010_2018_01.html
import,2018-01-01,2018,1,January,71011010,Natural Pearls,Natural (real) pearls - unworked,INDONESIA,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/import/71011010/71011010_2018_01.html
import,2018-01-01,2018,1,January,71011010,Natural Pearls,Natural (real) pearls - unworked,JAPAN,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/import/71011010/71011010_2018_01.html
import,2018-01-01,2018,1,January,71011010,Natural Pearls,Natural (real) pearls - unworked,MEXICO,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/import/71011010/71011010_2018_01.html
import,2018-01-01,2018,1,January,71011010,Natural Pearls,Natural (real) pearls - unworked,SPAIN,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/import/71011010/71011010_2018_01.html
import,2018-01-01,2018,1,January,71011010,Natural Pearls,Natural (real) pearls - unworked,SWITZERLAND,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/import/71011010/71011010_2018_01.html
import,2018-01-01,2018,1,January,71011010,Natural Pearls,Natural (real) pearls - unworked,U S A,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/import/71011010/71011010_2018_01.html
import,2018-01-01,2018,1,January,71011010,Natural Pearls,Natural (real) pearls - unworked,UNSPECIFIED,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/import/71011010/71011010_2018_01.html
import,2018-01-01,2018,1,January,71011010,Natural Pearls,Natural (real) pearls - unworked,Total,TOTAL,0.01,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/import/71011010/71011010_2018_01.html
import,2018-01-01,2018,1,January,71011020,Natural Pearls,Natural (real) pearls - worked,CHINA P RP,PARTNER,0.01,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/import/71011020/71011020_2018_01.html
import,2018-01-01,2018,1,January,71011020,Natural Pearls,Natural (real) pearls - worked,FRANCE,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/import/71011020/71011020_2018_01.html
import,2018-01-01,2018,1,January,71011020,Natural Pearls,Natural (real) pearls - worked,GERMANY,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/import/71011020/71011020_2018_01.html
import,2018-01-01,2018,1,January,71011020,Natural Pearls,Natural (real) pearls - worked,HONG KONG,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/import/71011020/71011020_2018_01.html
import,2018-01-01,2018,1,January,71011020,Natural Pearls,Natural (real) pearls - worked,INDONESIA,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/import/71011020/71011020_2018_01.html
import,2018-01-01,2018,1,January,71011020,Natural Pearls,Natural (real) pearls - worked,ITALY,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/import/71011020/71011020_2018_01.html
import,2018-01-01,2018,1,January,71011020,Natural Pearls,Natural (real) pearls - worked,JAPAN,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/import/71011020/71011020_2018_01.html
import,2018-01-01,2018,1,January,71011020,Natural Pearls,Natural (real) pearls - worked,SPAIN,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/import/71011020/71011020_2018_01.html
import,2018-01-01,2018,1,January,71011020,Natural Pearls,Natural (real) pearls - worked,SWITZERLAND,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/import/71011020/71011020_2018_01.html
import,2018-01-01,2018,1,January,71011020,Natural Pearls,Natural (real) pearls - worked,THAILAND,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/import/71011020/71011020_2018_01.html
import,2018-01-01,2018,1,January,71011020,Natural Pearls,Natural (real) pearls - worked,U ARAB EMTS,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/import/71011020/71011020_2018_01.html
import,2018-01-01,2018,1,January,71011020,Natural Pearls,Natural (real) pearls - worked,U S A,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/import/71011020/71011020_2018_01.html
import,2018-01-01,2018,1,January,71011020,Natural Pearls,Natural (real) pearls - worked,UNSPECIFIED,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/import/71011020/71011020_2018_01.html
import,2018-01-01,2018,1,January,71011020,Natural Pearls,Natural (real) pearls - worked,Total,TOTAL,0.02,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/import/71011020/71011020_2018_01.html
import,2018-01-01,2018,1,January,71012100,Cultured Pearls,Cultured pearls - unworked,CHINA P RP,PARTNER,1.02,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/import/71012100/71012100_2018_01.html
import,2018-01-01,2018,1,January,71012100,Cultured Pearls,Cultured pearls - unworked,GERMANY,PARTNER,0.01,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/import/71012100/71012100_2018_01.html
import,2018-01-01,2018,1,January,71012100,Cultured Pearls,Cultured pearls - unworked,HONG KONG,PARTNER,0.13,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/import/71012100/71012100_2018_01.html
import,2018-01-01,2018,1,January,71012100,Cultured Pearls,Cultured pearls - unworked,INDONESIA,PARTNER,0.04,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/import/71012100/71012100_2018_01.html
import,2018-01-01,2018,1,January,71012100,Cultured Pearls,Cultured pearls - unworked,ITALY,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/import/71012100/71012100_2018_01.html
