date_key,period_date,year,month_number,month_name,quarter,financial_year
201801,2018-01-01,2018,1,January,1,2017-18
201802,2018-02-01,2018,2,February,1,2017-18
201803,2018-03-01,2018,3,March,1,2017-18
201804,2018-04-01,2018,4,April,2,2018-19
201805,2018-05-01,2018,5,May,2,2018-19
201806,2018-06-01,2018,6,June,2,2018-19
201807,2018-07-01,2018,7,July,3,2018-19
201808,2018-08-01,2018,8,August,3,2018-19
201809,2018-09-01,2018,9,September,3,2018-19
201810,2018-10-01,2018,10,October,4,2018-19
201811,2018-11-01,2018,11,November,4,2018-19
201812,2018-12-01,2018,12,December,4,2018-19
201901,2019-01-01,2019,1,January,1,2018-19
201902,2019-02-01,2019,2,February,1,2018-19
201903,2019-03-01,2019,3,March,1,2018-19
201904,2019-04-01,2019,4,April,2,2019-20
201905,2019-05-01,2019,5,May,2,2019-20
201906,2019-06-01,2019,6,June,2,2019-20
201907,2019-07-01,2019,7,July,3,2019-20
201908,2019-08-01,2019,8,August,3,2019-20
201909,2019-09-01,2019,9,September,3,2019-20
201910,2019-10-01,2019,10,October,4,2019-20
201911,2019-11-01,2019,11,November,4,2019-20
201912,2019-12-01,2019,12,December,4,2019-20
202001,2020-01-01,2020,1,January,1,2019-20
202002,2020-02-01,2020,2,February,1,2019-20
202003,2020-03-01,2020,3,March,1,2019-20
202004,2020-04-01,2020,4,April,2,2020-21
202005,2020-05-01,2020,5,May,2,2020-21
202006,2020-06-01,2020,6,June,2,2020-21
202007,2020-07-01,2020,7,July,3,2020-21
202008,2020-08-01,2020,8,August,3,2020-21
202009,2020-09-01,2020,9,September,3,2020-21
202010,2020-10-01,2020,10,October,4,2020-21
202011,2020-11-01,2020,11,November,4,2020-21
202012,2020-12-01,2020,12,December,4,2020-21
202101,2021-01-01,2021,1,January,1,2020-21
202102,2021-02-01,2021,2,February,1,2020-21
202103,2021-03-01,2021,3,March,1,2020-21
202104,2021-04-01,2021,4,April,2,2021-22
202105,2021-05-01,2021,5,May,2,2021-22
202106,2021-06-01,2021,6,June,2,2021-22
202107,2021-07-01,2021,7,July,3,2021-22
202108,2021-08-01,2021,8,August,3,2021-22
202109,2021-09-01,2021,9,September,3,2021-22
202110,2021-10-01,2021,10,October,4,2021-22
202111,2021-11-01,2021,11,November,4,2021-22
202112,2021-12-01,2021,12,December,4,2021-22
202201,2022-01-01,2022,1,January,1,2021-22
202202,2022-02-01,2022,2,February,1,2021-22
202203,2022-03-01,2022,3,March,1,2021-22
202204,2022-04-01,2022,4,April,2,2022-23
202205,2022-05-01,2022,5,May,2,2022-23
202206,2022-06-01,2022,6,June,2,2022-23
202207,2022-07-01,2022,7,July,3,2022-23
202208,2022-08-01,2022,8,August,3,2022-23
202209,2022-09-01,2022,9,September,3,2022-23
202210,2022-10-01,2022,10,October,4,2022-23
202211,2022-11-01,2022,11,November,4,2022-23
202212,2022-12-01,2022,12,December,4,2022-23
202301,2023-01-01,2023,1,January,1,2022-23
202302,2023-02-01,2023,2,February,1,2022-23
202303,2023-03-01,2023,3,March,1,2022-23
202304,2023-04-01,2023,4,April,2,2023-24
202305,2023-05-01,2023,5,May,2,2023-24
202306,2023-06-01,2023,6,June,2,2023-24
202307,2023-07-01,2023,7,July,3,2023-24
202308,2023-08-01,2023,8,August,3,2023-24
202309,2023-09-01,2023,9,September,3,2023-24
202310,2023-10-01,2023,10,October,4,2023-24
202311,2023-11-01,2023,11,November,4,2023-24
202312,2023-12-01,2023,12,December,4,2023-24
202401,2024-01-01,2024,1,January,1,2023-24
202402,2024-02-01,2024,2,February,1,2023-24
202403,2024-03-01,2024,3,March,1,2023-24
202404,2024-04-01,2024,4,April,2,2024-25
202405,2024-05-01,2024,5,May,2,2024-25
202406,2024-06-01,2024,6,June,2,2024-25
202407,2024-07-01,2024,7,July,3,2024-25
202408,2024-08-01,2024,8,August,3,2024-25
202409,2024-09-01,2024,9,September,3,2024-25
202410,2024-10-01,2024,10,October,4,2024-25
202411,2024-11-01,2024,11,November,4,2024-25
202412,2024-12-01,2024,12,December,4,2024-25
202501,2025-01-01,2025,1,January,1,2024-25
202502,2025-02-01,2025,2,February,1,2024-25
202503,2025-03-01,2025,3,March,1,2024-25
202504,2025-04-01,2025,4,April,2,2025-26
202505,2025-05-01,2025,5,May,2,2025-26
202506,2025-06-01,2025,6,June,2,2025-26
202507,2025-07-01,2025,7,July,3,2025-26
202508,2025-08-01,2025,8,August,3,2025-26
202509,2025-09-01,2025,9,September,3,2025-26
202510,2025-10-01,2025,10,October,4,2025-26
202511,2025-11-01,2025,11,November,4,2025-26
202512,2025-12-01,2025,12,December,4,2025-26
202601,2026-01-01,2026,1,January,1,2025-26
202602,2026-02-01,2026,2,February,1,2025-26
202603,2026-03-01,2026,3,March,1,2025-26
202604,2026-04-01,2026,4,April,2,2026-27
202605,2026-05-01,2026,5,May,2,2026-27
202606,2026-06-01,2026,6,June,2,2026-27
