fact_id,date_key,hs_code,country_key,trade_flow_key,is_total,trade_value_usd_million,observation_status,reported_quantity_unit,source_report_date,source_file
1,201801,71011010,CHINA P RP,import,0,0.01,R,KGS,2026-08-20,gemstrategy_data/raw/import/71011010/71011010_2018_01.html
2,201801,71011010,FRANCE,import,0,0.0,R,KGS,2026-08-20,gemstrategy_data/raw/import/71011010/71011010_2018_01.html
3,201801,71011010,HONG KONG,import,0,0.0,R,KGS,2026-08-20,gemstrategy_data/raw/import/71011010/71011010_2018_01.html
4,201801,71011010,INDONESIA,import,0,0.0,R,KGS,2026-08-20,gemstrategy_data/raw/import/71011010/71011010_2018_01.html
5,201801,71011010,JAPAN,import,0,0.0,R,KGS,2026-08-20,gemstrategy_data/raw/import/71011010/71011010_2018_01.html
6,201801,71011010,MEXICO,import,0,0.0,R,KGS,2026-08-20,gemstrategy_data/raw/import/71011010/71011010_2018_01.html
7,201801,71011010,SPAIN,import,0,0.0,R,KGS,2026-08-20,gemstrategy_data/raw/import/71011010/71011010_2018_01.html
8,201801,71011010,SWITZERLAND,import,0,0.0,R,KGS,2026-08-20,gemstrategy_data/raw/import/71011010/71011010_2018_01.html
9,201801,71011010,U S A,import,0,0.0,R,KGS,2026-08-20,gemstrategy_data/raw/import/71011010/71011010_2018_01.html
10,201801,71011010,UNSPECIFIED,import,0,0.0,R,KGS,2026-08-20,gemstrategy_data/raw/import/71011010/71011010_2018_01.html
11,201801,71011010,TOTAL,import,1,0.01,R,KGS,2026-08-20,gemstrategy_data/raw/import/71011010/71011010_2018_01.html
12,201801,71011020,CHINA P RP,import,0,0.01,R,KGS,2026-08-20,gemstrategy_data/raw/import/71011020/71011020_2018_01.html
13,201801,71011020,FRANCE,import,0,0.0,R,KGS,2026-08-20,gemstrategy_data/raw/import/71011020/71011020_2018_01.html
14,201801,71011020,GERMANY,import,0,0.0,R,KGS,2026-08-20,gemstrategy_data/raw/import/71011020/71011020_2018_01.html
15,201801,71011020,HONG KONG,import,0,0.0,R,KGS,2026-08-20,gemstrategy_data/raw/import/71011020/71011020_2018_01.html
16,201801,71011020,INDONESIA,import,0,0.0,R,KGS,2026-08-20,gemstrategy_data/raw/import/71011020/71011020_2018_01.html
17,201801,71011020,ITALY,import,0,0.0,R,KGS,2026-08-20,gemstrategy_data/raw/import/71011020/71011020_2018_01.html
18,201801,71011020,JAPAN,import,0,0.0,R,KGS,2026-08-20,gemstrategy_data/raw/import/71011020/71011020_2018_01.html
19,201801,71011020,SPAIN,import,0,0.0,R,KGS,2026-08-20,gemstrategy_data/raw/import/71011020/71011020_2018_01.html
20,201801,71011020,SWITZERLAND,import,0,0.0,R,KGS,2026-08-20,gemstrategy_data/raw/import/71011020/71011020_2018_01.html
21,201801,71011020,THAILAND,import,0,0.0,R,KGS,2026-08-20,gemstrategy_data/raw/import/71011020/71011020_2018_01.html
22,201801,71011020,U ARAB EMTS,import,0,0.0,R,KGS,2026-08-20,gemstrategy_data/raw/import/71011020/71011020_2018_01.html
23,201801,71011020,U S A,import,0,0.0,R,KGS,2026-08-20,gemstrategy_data/raw/import/71011020/71011020_2018_01.html
24,201801,71011020,UNSPECIFIED,import,0,0.0,R,KGS,2026-08-20,gemstrategy_data/raw/import/71011020/71011020_2018_01.html
25,201801,71011020,TOTAL,import,1,0.02,R,KGS,2026-08-20,gemstrategy_data/raw/import/71011020/71011020_2018_01.html
26,201801,71012100,CHINA P RP,import,0,1.02,R,KGS,2026-08-20,gemstrategy_data/raw/import/71012100/71012100_2018_01.html
27,201801,71012100,GERMANY,import,0,0.01,R,KGS,2026-08-20,gemstrategy_data/raw/import/71012100/71012100_2018_01.html
28,201801,71012100,HONG KONG,import,0,0.13,R,KGS,2026-08-20,gemstrategy_data/raw/import/71012100/71012100_2018_01.html
29,201801,71012100,INDONESIA,import,0,0.04,R,KGS,2026-08-20,gemstrategy_data/raw/import/71012100/71012100_2018_01.html
30,201801,71012100,ITALY,import,0,0.0,R,KGS,2026-08-20,gemstrategy_data/raw/import/71012100/71012100_2018_01.html
31,201801,71012100,JAPAN,import,0,0.0,R,KGS,2026-08-20,gemstrategy_data/raw/import/71012100/71012100_2018_01.html
32,201801,71012100,KOREA RP,import,0,0.0,R,KGS,2026-08-20,gemstrategy_data/raw/import/71012100/71012100_2018_01.html
33,201801,71012100,PHILIPPINES,import,0,0.0,R,KGS,2026-08-20,gemstrategy_data/raw/import/71012100/71012100_2018_01.html
34,201801,71012100,SPAIN,import,0,0.0,R,KGS,2026-08-20,gemstrategy_data/raw/import/71012100/71012100_2018_01.html
35,201801,71012100,SWITZERLAND,import,0,0.0,R,KGS,2026-08-20,gemstrategy_data/raw/import/71012100/71012100_2018_01.html
36,201801,71012100,TAIWAN,import,0,0.0,R,KGS,2026-08-20,gemstrategy_data/raw/import/71012100/71012100_2018_01.html
37,201801,71012100,THAILAND,import,0,0.0,R,KGS,2026-08-20,gemstrategy_data/raw/import/71012100/71012100_2018_01.html
