hs_code,category,description,status
71011010,Natural Pearls,Natural (real) pearls - unworked,TESTED
71011020,Natural Pearls,Natural (real) pearls - worked,TESTED
71012100,Cultured Pearls,Cultured pearls - unworked,TESTED
71012200,Cultured Pearls,Cultured pearls - worked,TESTED
71031031,Emerald,Emerald - unworked or simply sawn or roughly shaped,TESTED
71039130,Emerald,Emerald - otherwise worked,TESTED
71031041,Ruby,Ruby - unworked or simply sawn or roughly shaped,TESTED
71039110,Ruby,Ruby - otherwise worked,TESTED
71031042,Sapphire,Sapphire - unworked or simply sawn or roughly shaped,TESTED
71039120,Sapphire,Sapphire - otherwise worked,TESTED
